CurveName,Tenor,NPV,Duration,Convexity
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,20 Years,100.304352,12.655979,210.299075
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,30 Years,117.457334,17.581767,428.337005
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,5 Years,104.751518,4.499717,21.605586
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,10 Years,104.502239,8.018391,73.689353
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,20 Years,100.304352,12.655979,210.299075
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,30 Years,117.488518,17.585064,428.462212
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,5 Years,104.751518,4.499717,21.605586
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,10 Years,104.502239,8.018391,73.689353
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,20 Years,100.304352,12.655979,210.299075
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,30 Years,117.480346,17.584201,428.429409
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_FORWARD,5 Years,104.751518,4.499717,21.605586
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_FORWARD,10 Years,104.502239,8.018391,73.689353
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_FORWARD,20 Years,100.304352,12.655979,210.299075
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_FORWARD,30 Years,117.488759,17.585090,428.463180
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,5 Years,104.744221,4.499777,21.606004
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,10 Years,104.560633,8.019682,73.705806
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,20 Years,100.360811,12.658442,210.346739
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,30 Years,117.877320,17.621248,429.795779
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,5 Years,104.744221,4.499777,21.606004
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,10 Years,104.560633,8.019682,73.705806
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,20 Years,100.360811,12.658442,210.346739
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,30 Years,116.093651,17.430991,422.570506
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,5 Years,104.744221,4.499777,21.606004
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,10 Years,104.560633,8.019682,73.705806
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,20 Years,100.360811,12.658442,210.346739
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,30 Years,117.863305,17.619775,429.739861
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,5 Years,104.744221,4.499777,21.606004
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,10 Years,104.560633,8.019682,73.705806
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,20 Years,100.360811,12.658442,210.346739
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,30 Years,117.180926,17.547656,427.001006
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_ZERO,5 Years,104.751518,4.499717,21.605586
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_ZERO,10 Years,104.502239,8.018391,73.689353
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_ZERO,20 Years,100.304352,12.655979,210.299075
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_ZERO,30 Years,117.488759,17.585090,428.463180
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,5 Years,103.040072,4.493862,21.568564
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,10 Years,104.571850,8.038063,73.974575
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,20 Years,105.956980,13.041092,219.660910
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,30 Years,109.765495,16.547765,386.707890
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,5 Years,103.040072,4.493862,21.568564
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,10 Years,104.571850,8.038063,73.974575
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,20 Years,105.956980,13.041092,219.660910
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,30 Years,109.759708,16.547055,386.680825
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,5 Years,103.040072,4.493862,21.568564
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,10 Years,104.571850,8.038063,73.974575
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,20 Years,105.956980,13.041092,219.660910
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,30 Years,109.765450,16.547759,386.707683
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,5 Years,103.040072,4.493862,21.568564
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,10 Years,104.571850,8.038063,73.974575
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,20 Years,105.956980,13.041092,219.660910
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,30 Years,109.763814,16.547559,386.700031
FITTED_EXPONENTIAL_SPLINES:DUAL_BLENDED_FORWARD,5 Years,103.040072,4.493862,21.568564
FITTED_EXPONENTIAL_SPLINES:DUAL_BLENDED_FORWARD,10 Years,104.571850,8.038063,73.974575
FITTED_EXPONENTIAL_SPLINES:DUAL_BLENDED_FORWARD,20 Years,105.956980,13.041092,219.660910
FITTED_EXPONENTIAL_SPLINES:DUAL_BLENDED_FORWARD,30 Years,109.765495,16.547765,386.707890
